image,color,head,type,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,black,head,logit,2.678091526,1.019729257,2.917756796,0.180514306,1.746174574,-0.980001092,-0.896609306,-2.44950223,-1.502071857,-2.714917421
0,black,head,prob,0.331461966,0.063127138,0.42122972,0.027274054,0.130529091,0.008545632,0.009288827,0.001965839,0.005070047,0.001507578
0,black,head_b,logit,-2.698935032,-3.28600502,0.020189226,-1.384961605,0.960184753,-0.49111414,0.616125584,-0.134854078,3.959926128,2.439467192
0,black,head_b,prob,0.0009443,0.000524987,0.014322233,0.003513674,0.036664486,0.008589235,0.025990976,0.012265248,0.73623538,0.160949558
0,black,total,prob,0.166203133,0.031826063,0.217775977,0.015393864,0.083596788,0.008567434,0.017639901,0.007115544,0.370652713,0.081228568
,,,,,,,,,,,,,
1,white,head,logit,4.643669128,0.479615033,2.883065701,0.845508575,0.471311241,-1.378207684,-1.836372852,-3.610994816,0.052532434,-2.551460505
1,white,head,prob,0.806176066,0.012531535,0.138614774,0.018067988,0.012427903,0.001955069,0.00123647,0.00020964,0.008175692,0.000604818
1,white,head_b,logit,-0.788630724,-3.879081249,-0.090495765,-0.804744005,-0.385622889,-0.961568058,-0.398518801,-1.337627053,5.903478622,2.742836714
1,white,head_b,prob,0.001178375,5.36E-05,0.002368535,0.00115954,0.001763224,0.000991238,0.001740632,0.000680546,0.949794531,0.040269878
1,white,total,prob,0.403677221,0.006292564,0.070491654,0.009613764,0.007095563,0.001473153,0.001488551,0.000445093,0.478985111,0.020437348
