image,color,head,type,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,black,head,logit,2.416354895,1.002608061,0.857427418,-0.009883836,0.055349797,-0.876491666,-0.613199592,-0.58984822,-1.30657506,-0.935664177
0,black,head,prob,0.546320677,0.132881716,0.11492487,0.048277583,0.051531907,0.020294694,0.026407598,0.027031504,0.013200784,0.019128649
0,black,head_b,logit,-0.005793914,-0.908766031,0.454902887,-0.067522824,0.930960715,0.531624317,0.729343951,0.40393725,-0.908780217,-1.159881592
0,black,head_b,prob,0.079956301,0.032411337,0.126744986,0.075169936,0.204023436,0.136851773,0.166770414,0.120447196,0.032410868,0.025213828
0,black,total,prob,0.313138489,0.082646526,0.120834928,0.061723759,0.127777671,0.078573233,0.096589006,0.07373935,0.022805826,0.022171238
,,,,,,,,,,,,,
1,white,head,logit,4.897319794,-0.799573004,2.796720505,-0.10469605,-0.602175891,-1.616226077,-1.605756283,-1.536908627,-0.559356332,-0.870149672
1,white,head,prob,0.870673895,0.002922311,0.106555738,0.005854739,0.003560041,0.001291393,0.001304985,0.001397995,0.003715791,0.002723174
1,white,head_b,logit,2.299530983,-2.763404369,2.358303547,-0.124594003,0.298576713,-0.170681804,-0.253733099,-0.571335971,-0.00701499,-1.065655708
1,white,head_b,prob,0.378239602,0.002393107,0.401135951,0.033495225,0.051140346,0.031986538,0.029437331,0.021427192,0.037674438,0.013070283
1,white,total,prob,0.624456748,0.002657709,0.253845844,0.019674982,0.027350193,0.016638966,0.015371158,0.011412593,0.020695115,0.007896728
