image,color,head,type,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,black,head,logit,3.195966721,-0.072623067,0.403776705,0.242116183,-0.019910872,-1.042880177,-0.293961644,-0.095804796,-0.31375581,-2.003192186
0,black,head,prob,0.763856113,0.029072413,0.04681433,0.039826356,0.030645991,0.011018026,0.023299949,0.028406216,0.022843279,0.004217408
0,black,head_b,logit,1.174594045,-1.286285758,-0.065317631,0.184559256,0.238951653,-0.15977028,0.205354571,0.485266268,0.456655383,-1.234005094
0,black,head_b,prob,0.259001911,0.022108357,0.074957691,0.09623573,0.101615198,0.068201818,0.098257937,0.129996523,0.126329899,0.023294946
0,black,total,prob,0.511429012,0.025590385,0.060886011,0.068031043,0.066130594,0.039609922,0.060778943,0.07920137,0.074586589,0.013756177
,,,,,,,,,,,,,
1,white,head,logit,5.903764725,-1.621373534,1.29743576,1.462682486,0.15976131,-2.337884903,-0.561654031,-1.315909743,-0.97674036,-2.011518478
1,white,head,prob,0.971385479,0.000523921,0.009702606,0.011446012,0.003110303,0.000255911,0.001511805,0.000711094,0.00099822,0.000354673
1,white,head_b,logit,3.740116358,-2.850865364,0.871210515,1.404186249,0.432525158,-1.441149116,-0.066954359,-0.772870421,-0.104890548,-1.211311221
1,white,head_b,prob,0.794459343,0.001090548,0.045094308,0.07684049,0.029080581,0.004465568,0.017647445,0.008711771,0.016990509,0.005619453
1,white,total,prob,0.882922411,0.000807234,0.027398457,0.044143251,0.016095442,0.00236074,0.009579625,0.004711432,0.008994364,0.002987063
